,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches
0,Luis Silva,MEX,FW,Real Salt Lake,29,1988,19,9,814,9.0,5,0,4,1,1,0,0,0.55,0.0,0.55,0.44,0.44,4.3,3.5,1.1,4.6,0.47,0.12,0.6,0.39,0.51,Matches
1,Saad Abdul-Salaam,USA,DF,NYCFC,26,1991,4,3,274,3.0,0,1,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,0.1,0.1,0.9,1.1,0.04,0.3,0.35,0.04,0.35,Matches
2,Mohammed Abu,GHA,MFDF,Columbus Crew,26,1991,4,0,97,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.03,0.11,0.14,0.03,0.14,Matches
3,Lalas Abubakar,GHA,DF,Columbus Crew,23,1994,23,20,1771,19.7,1,0,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.9,0.9,0.1,1.1,0.05,0.01,0.05,0.05,0.05,Matches
4,David Accam,GHA,FWMF,Philadelphia,27,1990,23,13,1213,13.5,1,0,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,3.1,3.1,1.0,4.1,0.23,0.07,0.3,0.23,0.3,Matches
5,Danilo Acosta,HON,DF,Real Salt Lake,20,1997,12,10,898,10.0,0,1,0,0,0,0,0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08,Matches
6,Kellyn Acosta,USA,MFFW,Colorado Rapids,22,1995,12,12,1039,11.5,2,2,2,0,1,3,0,0.17,0.17,0.35,0.17,0.35,2.2,1.5,0.9,2.4,0.19,0.08,0.27,0.13,0.21,Matches
7,Kellyn Acosta,USA,MFFW,FC Dallas,22,1995,13,8,675,7.5,1,1,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,1.1,1.1,0.7,1.9,0.15,0.1,0.25,0.15,0.25,Matches
8,Luciano Acosta,ARG,MF,D.C. United,23,1994,33,32,2746,30.5,10,15,10,0,0,3,0,0.33,0.49,0.82,0.33,0.82,5.5,5.5,8.5,14.0,0.18,0.28,0.46,0.18,0.46,Matches
9,Mo Adams,ENG,MF,Chicago Fire,21,1996,14,10,883,9.8,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,Tyler Adams,USA,MF,NY Red Bulls,18,1999,27,26,2328,25.9,0,3,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,1.1,1.1,2.2,3.3,0.04,0.09,0.13,0.04,0.13,Matches
11,Fanendo Adi,NGA,FW,Portland Timbers,27,1990,14,9,823,9.1,3,2,3,0,0,0,0,0.33,0.22,0.55,0.33,0.55,4.5,4.5,0.7,5.1,0.49,0.07,0.56,0.49,0.56,Matches
12,Bismark Adjei-Boateng,GHA,MFDF,Colorado Rapids,23,1994,20,14,1233,13.7,1,0,1,0,0,6,1,0.07,0.0,0.07,0.07,0.07,0.5,0.5,0.7,1.2,0.04,0.05,0.09,0.04,0.09,Matches
13,François Affolter,SUI,DF,San Jose,26,1991,9,7,678,7.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
14,Harrison Afful,GHA,DF,Columbus Crew,31,1986,32,32,2864,31.8,2,3,2,0,0,1,0,0.06,0.09,0.16,0.06,0.16,2.5,2.5,4.2,6.7,0.08,0.13,0.21,0.08,0.21,Matches
15,Juan Agudelo,USA,FWMF,New England,25,1992,30,13,1504,16.7,3,3,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,3.4,3.4,1.4,4.9,0.21,0.09,0.29,0.21,0.29,Matches
16,Abel Aguilar,COL,MF,FC Dallas,33,1985,4,1,134,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
17,Stefan Aigner,GER,FW,Colorado Rapids,30,1987,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
18,José Aja,URU,DF,Vancouver,24,1993,17,17,1511,16.8,1,0,1,0,0,4,1,0.06,0.0,0.06,0.06,0.06,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches
19,Ager Aketxe,ESP,MF,Toronto FC,24,1993,11,9,729,8.1,0,1,0,0,1,1,0,0.0,0.12,0.12,0.0,0.12,1.7,1.0,1.1,2.1,0.21,0.14,0.35,0.12,0.26,Matches
20,Tesho Akindele,CAN,FWMF,FC Dallas,25,1992,19,5,586,6.5,2,0,2,0,0,0,0,0.31,0.0,0.31,0.31,0.31,1.7,1.7,0.8,2.5,0.26,0.12,0.38,0.26,0.38,Matches
21,Ayo Akinola,CAN,FWMF,Toronto FC,18,2000,4,0,49,0.5,0,1,0,0,0,0,0,0.0,1.84,1.84,0.0,1.84,0.0,0.0,0.3,0.3,0.0,0.6,0.6,0.0,0.6,Matches
22,Fatai Alashe,USA,MF,San Jose,24,1993,12,2,362,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.04,0.04,0.0,0.04,Matches
23,Romain Alessandrini,FRA,FWMF,LA Galaxy,28,1989,26,23,1909,21.2,11,8,10,1,1,7,0,0.52,0.38,0.9,0.47,0.85,5.2,4.4,6.1,10.5,0.24,0.29,0.53,0.21,0.49,Matches
24,Eric Alexander,USA,MF,Houston Dynamo,29,1988,21,20,1655,18.4,1,0,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05,0.7,0.7,0.8,1.4,0.04,0.04,0.08,0.04,0.08,Matches
25,Tony Alfaro,USA,DF,Seattle,24,1993,4,3,220,2.4,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
26,Miguel Almirón,PAR,MFFW,Atlanta Utd,23,1994,32,32,2756,30.6,12,11,8,4,5,4,0,0.39,0.36,0.75,0.26,0.62,15.1,11.3,10.5,21.8,0.49,0.34,0.84,0.37,0.71,Matches
27,Osvaldo Alonso,CUB,MF,Seattle,32,1985,25,21,1838,20.4,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,1.7,0.06,0.03,0.08,0.06,0.08,Matches
28,Jozy Altidore,USA,FW,Toronto FC,28,1989,13,12,871,9.7,7,0,5,2,2,3,1,0.72,0.0,0.72,0.52,0.52,6.1,4.6,0.4,5.0,0.63,0.04,0.67,0.47,0.52,Matches
29,Arturo Alvarez,SLV,FWMF,Houston Dynamo,32,1985,18,2,355,3.9,0,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,0.5,0.5,0.9,1.3,0.12,0.22,0.34,0.12,0.34,Matches
30,Eloi Amagat,ESP,MF,NYCFC,32,1985,8,5,430,4.8,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,0.04,0.12,0.16,0.04,0.16,Matches
31,Quincy Amarikwa,USA,FWMF,San Jose,30,1987,14,1,280,3.1,0,2,0,0,0,1,0,0.0,0.64,0.64,0.0,0.64,0.5,0.5,0.7,1.2,0.16,0.24,0.39,0.16,0.39,Matches
32,Quincy Amarikwa,USA,FW,Montreal Impact,30,1987,10,7,641,7.1,1,0,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14,2.8,2.8,0.4,3.1,0.39,0.05,0.44,0.39,0.44,Matches
33,Mikey Ambrose,USA,DFMF,Atlanta Utd,24,1993,9,8,729,8.1,0,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,0.7,0.9,0.02,0.09,0.11,0.02,0.11,Matches
34,Michael Amir Murillo,PAN,DF,NY Red Bulls,21,1996,23,21,1936,21.5,1,3,1,0,0,5,1,0.05,0.14,0.19,0.05,0.19,1.5,1.5,3.4,4.8,0.07,0.16,0.22,0.07,0.22,Matches
35,Emiliano Amor,ARG,DF,Sporting KC,22,1995,5,3,333,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.08,0.09,0.01,0.09,Matches
36,Vytas Andriuškevičius,LTU,DFFW,Portland Timbers,27,1990,3,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
37,Isaac Angking,PUR,FWMF,New England,18,2000,3,0,39,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.1,1.47,0.98,2.45,1.47,2.45,Matches
38,Jalil Anibaba,USA,DF,New England,29,1988,31,29,2708,30.1,0,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,0.7,1.1,0.02,0.02,0.04,0.02,0.04,Matches
39,Pablo Aránguiz,CHI,FWMF,FC Dallas,20,1997,9,3,283,3.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.4,0.08,0.39,0.47,0.08,0.47,Matches
40,Victor Arboleda,COL,FW,Portland Timbers,21,1997,1,0,32,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
41,Luis Argudo,USA,FWMF,Columbus Crew,22,1995,18,6,634,7.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,0.08,0.12,0.2,0.08,0.2,Matches
42,Samuel Armenteros,SWE,FW,Portland Timbers,27,1990,28,19,1585,17.6,8,1,8,0,0,2,0,0.45,0.06,0.51,0.45,0.51,6.6,6.6,2.0,8.7,0.38,0.12,0.49,0.38,0.49,Matches
43,Paul Arriola,USA,MFFW,D.C. United,22,1995,28,25,2177,24.2,7,6,7,0,0,7,1,0.29,0.25,0.54,0.29,0.54,3.7,3.7,3.7,7.4,0.15,0.15,0.31,0.15,0.31,Matches
44,Artur,BRA,MF,Columbus Crew,21,1996,32,32,2780,30.9,0,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,2.2,2.2,1.3,3.5,0.07,0.04,0.11,0.07,0.11,Matches
45,Yamil Asad,ARG,MFFW,D.C. United,23,1994,30,27,2359,26.2,9,5,8,1,1,1,0,0.34,0.19,0.53,0.31,0.5,5.4,4.6,3.0,7.6,0.21,0.11,0.32,0.18,0.29,Matches
46,Carlos Ascues,PER,DFMF,Orlando City,25,1992,9,9,753,8.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.04,0.02,0.05,0.04,0.05,Matches
47,Dairon Asprilla,COL,FWMF,Portland Timbers,25,1992,17,7,693,7.7,1,0,0,1,1,3,0,0.13,0.0,0.13,0.0,0.0,2.6,1.8,1.6,3.4,0.34,0.21,0.55,0.24,0.45,Matches
48,Jeff Attinella,USA,GK,Portland Timbers,29,1988,22,22,1942,21.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
49,Eduard Atuesta,COL,MF,Los Angeles FC,20,1997,25,16,1507,16.7,1,2,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,1.0,1.0,1.6,2.5,0.06,0.1,0.16,0.06,0.16,Matches
50,Auro,BRA,DFMF,Toronto FC,22,1996,18,16,1424,15.8,0,3,0,0,0,3,0,0.0,0.19,0.19,0.0,0.19,0.8,0.8,2.3,3.0,0.05,0.14,0.19,0.05,0.19,Matches
51,Kwame Awuah,CAN,MFFW,NYCFC,22,1995,6,1,146,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.03,0.09,0.12,0.03,0.12,Matches
52,Micheal Azira,UGA,MF,Colorado Rapids,30,1987,5,3,275,3.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches
53,Micheal Azira,UGA,MF,Montreal Impact,30,1987,10,8,724,8.0,1,0,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,0.5,0.5,0.0,0.5,0.06,0.0,0.06,0.06,0.06,Matches
54,Dominique Badji,SEN,FW,Colorado Rapids,25,1992,16,15,1340,14.9,7,1,7,0,0,6,0,0.47,0.07,0.54,0.47,0.54,6.7,6.7,0.7,7.4,0.45,0.05,0.49,0.45,0.49,Matches
55,Dominique Badji,SEN,FW,FC Dallas,25,1992,10,9,613,6.8,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,2.3,2.3,1.0,3.3,0.37,0.17,0.54,0.37,0.54,Matches
56,Corey Baird,USA,FW,Real Salt Lake,22,1996,31,21,1898,21.1,8,5,8,0,0,4,0,0.38,0.24,0.62,0.38,0.62,7.2,7.2,2.8,10.0,0.34,0.13,0.48,0.34,0.48,Matches
57,Jon Bakero,ESP,FWMF,Toronto FC,21,1996,3,2,148,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.14,0.02,0.15,0.14,0.15,Matches
58,Jon Bakero,ESP,MFFW,Chicago Fire,21,1996,4,1,78,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.6,0.27,0.4,0.67,0.27,0.67,Matches
59,Ezequiel Barco,ARG,FWMF,Atlanta Utd,18,1999,26,19,1723,19.1,4,2,4,0,0,2,0,0.21,0.1,0.31,0.21,0.31,3.4,3.4,4.4,7.8,0.18,0.23,0.41,0.18,0.41,Matches
60,Giles Barnes,JAM,FWMF,Colorado Rapids,29,1988,12,6,545,6.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.01,0.08,0.09,0.01,0.09,Matches
61,Michael Barrios,COL,FWMF,FC Dallas,26,1991,34,29,2530,28.1,6,5,6,0,0,3,0,0.21,0.18,0.39,0.21,0.39,8.3,8.3,7.8,16.1,0.3,0.29,0.59,0.3,0.59,Matches
62,Shawn Barry,PUR,DF,Real Salt Lake,27,1990,4,3,202,2.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
63,Cole Bassett,USA,MF,Colorado Rapids,16,2001,6,3,309,3.4,1,0,1,0,0,0,0,0.29,0.0,0.29,0.29,0.29,1.1,1.1,0.2,1.2,0.31,0.05,0.35,0.31,0.35,Matches
64,DaMarcus Beasley,USA,DF,Houston Dynamo,35,1982,26,26,2206,24.5,1,2,1,0,0,0,1,0.04,0.08,0.12,0.04,0.12,0.5,0.5,2.0,2.5,0.02,0.08,0.1,0.02,0.1,Matches
65,Kyle Beckerman,USA,MF,Real Salt Lake,35,1982,31,29,2622,29.1,1,0,1,0,0,8,0,0.03,0.0,0.03,0.03,0.03,1.0,1.0,1.4,2.4,0.03,0.05,0.08,0.03,0.08,Matches
66,Alejandro Bedoya,USA,MF,Philadelphia,30,1987,33,31,2778,30.9,3,5,3,0,0,7,1,0.1,0.16,0.26,0.1,0.26,3.8,3.8,5.7,9.5,0.12,0.18,0.31,0.12,0.31,Matches
67,Steven Beitashour,IRN,DF,Los Angeles FC,30,1987,30,30,2641,29.3,2,3,2,0,0,3,0,0.07,0.1,0.17,0.07,0.17,1.5,1.5,2.9,4.5,0.05,0.1,0.16,0.05,0.16,Matches
68,Louis Béland-Goyette,CAN,MFFW,Montreal Impact,22,1995,4,0,113,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
69,George Bello,USA,MFDF,Atlanta Utd,16,2002,3,2,177,2.0,1,0,1,0,0,0,0,0.51,0.0,0.51,0.51,0.51,0.2,0.2,0.4,0.6,0.11,0.18,0.29,0.11,0.29,Matches
70,Kharlton Belmar,GRN,FWMF,Sporting KC,25,1992,4,0,69,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.16,0.1,0.25,0.16,0.25,Matches
71,Joe Bendik,USA,GK,Orlando City,28,1989,25,24,2219,24.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.01,0.01,0.0,0.01,Matches
72,Matt Besler,USA,DF,Sporting KC,30,1987,31,31,2745,30.5,0,2,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,1.5,1.5,0.0,0.05,0.05,0.0,0.05,Matches
73,Nick Besler,USA,DFMF,Real Salt Lake,24,1993,22,15,1435,15.9,1,0,1,0,0,1,0,0.06,0.0,0.06,0.06,0.06,0.7,0.7,0.0,0.7,0.04,0.0,0.04,0.04,0.04,Matches
74,Vincent Bezecourt,FRA,MFFW,NY Red Bulls,24,1993,9,5,396,4.4,0,1,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,0.4,0.4,0.6,1.0,0.1,0.14,0.24,0.1,0.24,Matches
75,David Bingham,USA,GK,LA Galaxy,28,1989,34,34,3060,34.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
76,Eric Bird,USA,MF,Houston Dynamo,24,1993,6,4,340,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.5,0.12,0.02,0.14,0.12,0.14,Matches
77,Steve Birnbaum,USA,DF,D.C. United,27,1991,34,34,3060,34.0,2,0,2,0,0,4,0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,0.4,1.6,0.04,0.01,0.05,0.04,0.05,Matches
78,Tristan Blackmon,USA,DF,Los Angeles FC,21,1996,10,5,496,5.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.02,0.03,0.05,0.02,0.05,Matches
79,Andre Blake,JAM,GK,Philadelphia,27,1990,33,33,2970,33.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
80,Sebastián Blanco,ARG,MFFW,Portland Timbers,29,1988,31,29,2559,28.4,10,8,10,0,0,9,0,0.35,0.28,0.63,0.35,0.63,6.2,6.2,8.8,15.0,0.22,0.31,0.53,0.22,0.53,Matches
81,Latif Blessing,GHA,FWMF,Los Angeles FC,21,1996,30,18,1808,20.1,5,6,5,0,0,0,0,0.25,0.3,0.55,0.25,0.55,7.2,7.2,3.7,10.9,0.38,0.19,0.57,0.38,0.57,Matches
82,Johan Blomberg,SWE,MFDF,Colorado Rapids,30,1987,24,21,1649,18.3,0,3,0,0,0,5,0,0.0,0.16,0.16,0.0,0.16,0.8,0.8,2.4,3.2,0.04,0.13,0.17,0.04,0.17,Matches
83,Anthony Blondell,VEN,FW,Vancouver,23,1994,18,8,645,7.2,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,1.6,1.6,1.1,2.7,0.23,0.15,0.38,0.23,0.38,Matches
84,Emmanuel Boateng,GHA,FW,LA Galaxy,24,1994,27,12,1192,13.2,2,5,2,0,0,2,0,0.15,0.38,0.53,0.15,0.53,3.0,3.0,2.2,5.1,0.22,0.16,0.39,0.22,0.39,Matches
85,Fernando Bob,BRA,MF,Minnesota Utd,30,1988,7,7,614,6.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matches
86,Yannick Boli,CIV,FW,Colorado Rapids,30,1988,17,9,769,8.5,2,0,1,1,1,3,1,0.23,0.0,0.23,0.12,0.12,2.9,2.1,0.2,2.3,0.34,0.03,0.36,0.25,0.27,Matches
87,Alex Bono,USA,GK,Toronto FC,23,1994,27,27,2430,27.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Matches
88,Stefano Bonomo,USA,FW,NY Red Bulls,25,1993,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73,Matches
89,Michael Boxall,NZL,DF,Minnesota Utd,29,1988,32,32,2880,32.0,2,0,2,0,0,7,0,0.06,0.0,0.06,0.06,0.06,1.0,1.0,0.4,1.3,0.03,0.01,0.04,0.03,0.04,Matches
90,Michael Bradley,USA,MFDF,Toronto FC,30,1987,32,32,2856,31.7,0,2,0,0,0,6,0,0.0,0.06,0.06,0.0,0.06,0.7,0.7,2.0,2.6,0.02,0.06,0.08,0.02,0.08,Matches
91,Shaft Brewer,USA,FW,Los Angeles FC,18,1999,3,0,32,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.74,0.85,1.59,0.74,1.59,Matches
92,Frédéric Brillant,FRA,DF,D.C. United,32,1985,27,24,2182,24.2,0,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04,1.0,1.0,0.7,1.7,0.04,0.03,0.07,0.04,0.07,Matches
93,Brandt Bronico,USA,MF,Chicago Fire,22,1995,23,17,1532,17.0,1,4,1,0,0,4,0,0.06,0.23,0.29,0.06,0.29,1.5,1.5,1.2,2.7,0.09,0.07,0.16,0.09,0.16,Matches
94,Will Bruin,USA,FW,Seattle,28,1989,29,19,1797,20.0,7,5,7,0,0,1,0,0.35,0.25,0.6,0.35,0.6,5.9,5.9,3.2,9.1,0.29,0.16,0.46,0.29,0.46,Matches
95,Teal Bunbury,USA,FW,New England,27,1990,32,30,2559,28.4,11,2,10,1,2,5,0,0.39,0.07,0.46,0.35,0.42,10.8,9.3,2.1,11.4,0.38,0.07,0.45,0.33,0.4,Matches
96,Marc Burch,USA,DF,Minnesota Utd,33,1984,6,5,403,4.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.08,0.0,0.08,Matches
97,Cory Burke,JAM,FW,Philadelphia,26,1991,29,15,1433,15.9,10,1,10,0,0,4,1,0.63,0.06,0.69,0.63,0.69,9.0,9.0,1.1,10.1,0.57,0.07,0.64,0.57,0.64,Matches
98,Evan Bush,USA,GK,Montreal Impact,31,1986,34,34,3060,34.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
99,Gianluca Busio,USA,MF,Sporting KC,15,2002,7,1,159,1.8,1,1,1,0,0,0,0,0.57,0.57,1.13,0.57,1.13,1.5,1.5,0.3,1.8,0.87,0.18,1.05,0.87,1.05,Matches
100,Handwalla Bwana,SOM,FWMF,Seattle,20,1997,12,6,490,5.4,2,1,2,0,0,0,0,0.37,0.18,0.55,0.37,0.55,1.0,1.0,0.5,1.5,0.19,0.09,0.28,0.19,0.28,Matches
101,Brandon Bye,USA,DF,New England,22,1995,24,16,1474,16.4,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches
